Parent	GO biological process complete	ref	list	expected	Fold Enrichment	+/-	raw P value	FDR
*	"positive regulation of CD8-positive, alpha-beta T cell proliferation"	4	2	0.02	> 100	+	2.59E-04	3.76E-02
-	positive regulation of alpha-beta T cell proliferation	21	3	0.09	33.85	+	1.36E-04	2.62E-02
-	regulation of alpha-beta T cell proliferation	32	3	0.14	22.21	+	4.26E-04	5.00E-02
-	regulation of T cell proliferation	167	6	0.7	8.51	+	9.02E-05	2.09E-02
-	regulation of lymphocyte proliferation	220	8	0.93	8.62	+	5.31E-06	4.71E-03
-	regulation of mononuclear cell proliferation	222	8	0.94	8.54	+	5.67E-06	4.76E-03
-	regulation of leukocyte proliferation	233	8	0.98	8.14	+	7.98E-06	5.31E-03
-	regulation of cell population proliferation	1656	19	6.99	2.72	+	5.50E-05	1.54E-02
-	regulation of biological process	11825	70	49.91	1.4	+	1.13E-05	6.68E-03
-	biological regulation	12525	71	52.86	1.34	+	4.52E-05	1.39E-02
-	regulation of lymphocyte activation	532	12	2.25	5.34	+	2.86E-06	3.04E-03
-	regulation of leukocyte activation	615	12	2.6	4.62	+	1.20E-05	6.86E-03
-	regulation of immune system process	1718	25	7.25	3.45	+	2.99E-08	2.39E-04
-	regulation of cell activation	656	12	2.77	4.33	+	2.25E-05	9.47E-03
-	regulation of T cell activation	331	9	1.4	6.44	+	1.31E-05	7.19E-03
-	positive regulation of T cell activation	212	6	0.89	6.71	+	3.17E-04	4.32E-02
-	positive regulation of leukocyte cell-cell adhesion	231	7	0.97	7.18	+	6.52E-05	1.71E-02
-	regulation of leukocyte cell-cell adhesion	317	9	1.34	6.73	+	9.35E-06	5.74E-03
-	regulation of cell-cell adhesion	426	11	1.8	6.12	+	2.18E-06	2.90E-03
-	regulation of cell adhesion	718	14	3.03	4.62	+	2.11E-06	3.06E-03
-	positive regulation of cell-cell adhesion	275	8	1.16	6.89	+	2.54E-05	9.91E-03
-	positive regulation of cell adhesion	428	10	1.81	5.54	+	1.52E-05	8.11E-03
-	positive regulation of cellular process	5725	48	24.16	1.99	+	1.10E-07	4.39E-04
-	positive regulation of biological process	6278	51	26.5	1.92	+	7.21E-08	3.83E-04
-	positive regulation of lymphocyte activation	373	8	1.57	5.08	+	2.02E-04	3.26E-02
-	positive regulation of leukocyte activation	416	8	1.76	4.56	+	4.14E-04	4.97E-02
-	positive regulation of immune system process	1091	18	4.6	3.91	+	6.67E-07	1.33E-03
*	"positive regulation of CD4-positive, alpha-beta T cell proliferation"	5	2	0.02	94.78	+	3.62E-04	4.69E-02
*	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"	9	3	0.04	78.98	+	1.54E-05	7.66E-03
-	immune system process	2778	30	11.72	2.56	+	6.11E-07	1.63E-03
*	"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"	12	3	0.05	59.24	+	3.15E-05	1.17E-02
-	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	12	3	0.05	59.24	+	3.15E-05	1.14E-02
-	antigen processing and presentation of endogenous peptide antigen via MHC class I	21	3	0.09	33.85	+	1.36E-04	2.59E-02
-	antigen processing and presentation of endogenous peptide antigen	21	3	0.09	33.85	+	1.36E-04	2.68E-02
-	antigen processing and presentation of endogenous antigen	28	3	0.12	25.39	+	2.96E-04	4.15E-02
*	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	13	3	0.05	54.68	+	3.86E-05	1.28E-02
-	antigen processing and presentation of peptide antigen via MHC class Ib	14	3	0.06	50.77	+	4.67E-05	1.41E-02
-	antigen processing and presentation via MHC class Ib	21	3	0.09	33.85	+	1.36E-04	2.65E-02
*	positive regulation of T cell cytokine production	20	3	0.08	35.54	+	1.20E-04	2.48E-02
-	positive regulation of cytokine production involved in immune response	59	4	0.25	16.06	+	1.44E-04	2.66E-02
-	regulation of cytokine production	734	11	3.1	3.55	+	2.84E-04	4.09E-02
-	regulation of immune effector process	477	9	2.01	4.47	+	2.04E-04	3.26E-02
-	regulation of immune response	1143	16	4.82	3.32	+	2.33E-05	9.31E-03
-	positive regulation of immune effector process	226	8	0.95	8.39	+	6.43E-06	4.89E-03
-	regulation of T cell cytokine production	32	4	0.14	29.62	+	1.55E-05	7.27E-03
-	regulation of T cell mediated immunity	76	5	0.32	15.59	+	2.33E-05	9.53E-03
-	regulation of leukocyte mediated immunity	211	7	0.89	7.86	+	3.74E-05	1.27E-02
-	positive regulation of T cell mediated immunity	54	5	0.23	21.94	+	4.89E-06	4.59E-03
-	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	109	5	0.46	10.87	+	1.20E-04	2.45E-02
-	positive regulation of adaptive immune response	114	5	0.48	10.39	+	1.47E-04	2.63E-02
-	positive regulation of lymphocyte mediated immunity	109	5	0.46	10.87	+	1.20E-04	2.42E-02
-	positive regulation of leukocyte mediated immunity	141	5	0.6	8.4	+	3.79E-04	4.72E-02
*	nuclear migration	23	3	0.1	30.91	+	1.74E-04	2.95E-02
-	nucleus localization	29	3	0.12	24.51	+	3.26E-04	4.41E-02
-	cellular localization	2999	26	12.66	2.05	+	3.36E-04	4.40E-02
-	establishment of localization in cell	2387	22	10.07	2.18	+	3.36E-04	4.44E-02
*	positive regulation of T cell mediated cytotoxicity	32	4	0.14	29.62	+	1.55E-05	7.49E-03
-	regulation of T cell mediated cytotoxicity	39	4	0.16	24.3	+	3.17E-05	1.12E-02
-	regulation of leukocyte mediated cytotoxicity	78	4	0.33	12.15	+	3.97E-04	4.83E-02
-	positive regulation of leukocyte mediated cytotoxicity	56	4	0.24	16.92	+	1.19E-04	2.49E-02
-	positive regulation of cell killing	74	4	0.31	12.81	+	3.28E-04	4.36E-02
*	positive regulation of neutrophil chemotaxis	26	3	0.11	27.34	+	2.42E-04	3.65E-02
-	positive regulation of neutrophil migration	32	3	0.14	22.21	+	4.26E-04	5.07E-02
-	regulation of leukocyte migration	207	8	0.87	9.16	+	3.45E-06	3.44E-03
-	regulation of cell migration	879	13	3.71	3.5	+	8.68E-05	2.07E-02
-	regulation of cell motility	942	13	3.98	3.27	+	1.71E-04	2.94E-02
-	regulation of locomotion	982	13	4.14	3.14	+	2.55E-04	3.74E-02
-	regulation of cellular component movement	1027	13	4.33	3	+	3.91E-04	4.80E-02
-	positive regulation of leukocyte migration	139	6	0.59	10.23	+	3.38E-05	1.17E-02
-	positive regulation of cell migration	522	10	2.2	4.54	+	7.87E-05	1.96E-02
-	positive regulation of cell motility	547	10	2.31	4.33	+	1.15E-04	2.44E-02
-	positive regulation of cellular component movement	563	10	2.38	4.21	+	1.45E-04	2.66E-02
-	positive regulation of locomotion	562	10	2.37	4.22	+	1.43E-04	2.68E-02
-	positive regulation of granulocyte chemotaxis	28	3	0.12	25.39	+	2.96E-04	4.18E-02
-	positive regulation of leukocyte chemotaxis	92	5	0.39	12.88	+	5.56E-05	1.53E-02
-	positive regulation of chemotaxis	141	5	0.6	8.4	+	3.79E-04	4.76E-02
-	positive regulation of response to external stimulus	509	9	2.15	4.19	+	3.27E-04	4.39E-02
-	regulation of leukocyte chemotaxis	119	5	0.5	9.96	+	1.78E-04	2.95E-02
-	regulation of neutrophil chemotaxis	32	3	0.14	22.21	+	4.26E-04	5.04E-02
*	leukocyte mediated cytotoxicity	37	4	0.16	25.62	+	2.62E-05	9.95E-03
-	cell killing	119	5	0.5	9.96	+	1.78E-04	2.99E-02
-	leukocyte mediated immunity	762	13	3.22	4.04	+	2.05E-05	9.09E-03
-	immune effector process	1083	17	4.57	3.72	+	2.79E-06	3.18E-03
*	positive regulation of T cell migration	31	3	0.13	22.93	+	3.91E-04	4.83E-02
-	regulation of T cell migration	44	4	0.19	21.54	+	4.92E-05	1.43E-02
-	regulation of lymphocyte migration	63	4	0.27	15.04	+	1.82E-04	3.00E-02
*	negative regulation of leukocyte mediated immunity	52	4	0.22	18.23	+	9.05E-05	2.04E-02
-	negative regulation of biological process	5541	40	23.39	1.71	+	1.48E-04	2.63E-02
*	type I interferon signaling pathway	67	4	0.28	14.15	+	2.28E-04	3.54E-02
-	response to stimulus	8572	55	36.18	1.52	+	7.41E-05	1.88E-02
-	cellular response to cytokine stimulus	1031	14	4.35	3.22	+	1.11E-04	2.43E-02
-	cellular response to organic substance	2400	24	10.13	2.37	+	6.22E-05	1.65E-02
-	cellular response to chemical stimulus	2961	27	12.5	2.16	+	8.13E-05	2.00E-02
-	response to chemical	4520	34	19.08	1.78	+	3.75E-04	4.79E-02
-	response to organic substance	3033	28	12.8	2.19	+	4.80E-05	1.42E-02
-	response to cytokine	1121	15	4.73	3.17	+	7.21E-05	1.86E-02
-	cellular response to type I interferon	67	4	0.28	14.15	+	2.28E-04	3.50E-02
-	response to type I interferon	72	4	0.3	13.16	+	2.97E-04	4.08E-02
-	innate immune response	777	12	3.28	3.66	+	1.12E-04	2.41E-02
-	defense response to other organism	970	17	4.09	4.15	+	6.34E-07	1.45E-03
-	response to other organism	1345	20	5.68	3.52	+	7.18E-07	1.27E-03
-	interspecies interaction between organisms	2001	31	8.45	3.67	+	7.04E-11	1.12E-06
-	response to external biotic stimulus	1347	20	5.68	3.52	+	7.35E-07	1.17E-03
-	response to biotic stimulus	1379	21	5.82	3.61	+	2.41E-07	7.69E-04
-	response to external stimulus	2477	27	10.45	2.58	+	2.35E-06	2.89E-03
-	defense response	1369	18	5.78	3.12	+	1.53E-05	7.88E-03
-	response to stress	3635	29	15.34	1.89	+	3.77E-04	4.78E-02
-	immune response	1872	22	7.9	2.78	+	8.39E-06	5.36E-03
*	interferon-gamma-mediated signaling pathway	72	4	0.3	13.16	+	2.97E-04	4.12E-02
-	cellular response to interferon-gamma	164	7	0.69	10.11	+	7.80E-06	5.41E-03
-	response to interferon-gamma	186	7	0.78	8.92	+	1.71E-05	7.81E-03
*	regulation of RNA splicing	145	6	0.61	9.8	+	4.24E-05	1.33E-02
-	regulation of gene expression	4494	34	18.97	1.79	+	3.63E-04	4.68E-02
