Parent	GO biological process complete	ref	list	expected	Fold Enrichment	+/-	raw P value	FDR
*	negative regulation of low-density lipoprotein particle receptor catabolic process	2	2	0.01	> 100	+	1.14E-04	4.33E-02
*	membrane raft assembly	10	3	0.04	67.99	+	2.27E-05	1.30E-02
-	cellular process	15458	85	68.2	1.25	+	1.24E-05	1.24E-02
*	"mitochondrial electron transport, cytochrome c to oxygen"	20	3	0.09	34	+	1.36E-04	4.94E-02
-	mitochondrial ATP synthesis coupled electron transport	88	5	0.39	12.88	+	5.62E-05	2.49E-02
-	ATP synthesis coupled electron transport	89	5	0.39	12.73	+	5.91E-05	2.55E-02
-	respiratory electron transport chain	108	5	0.48	10.49	+	1.42E-04	4.91E-02
-	electron transport chain	175	7	0.77	9.07	+	1.57E-05	1.14E-02
-	generation of precursor metabolites and energy	411	11	1.81	6.07	+	2.43E-06	5.53E-03
-	oxidative phosphorylation	119	8	0.53	15.24	+	8.90E-08	7.10E-04
-	ATP metabolic process	207	9	0.91	9.85	+	4.63E-07	1.48E-03
-	aerobic electron transport chain	20	3	0.09	34	+	1.36E-04	4.84E-02
-	aerobic respiration	78	5	0.34	14.53	+	3.25E-05	1.67E-02
*	collagen catabolic process	43	4	0.19	21.08	+	5.38E-05	2.45E-02
*	inner mitochondrial membrane organization	49	4	0.22	18.5	+	8.66E-05	3.46E-02
*	proton transmembrane transport	142	7	0.63	11.17	+	4.23E-06	7.51E-03
-	transport	4550	43	20.08	2.14	+	1.57E-07	8.36E-04
-	establishment of localization	4680	43	20.65	2.08	+	2.82E-07	1.13E-03
-	localization	5802	47	25.6	1.84	+	3.30E-06	6.58E-03
-	transmembrane transport	1298	17	5.73	2.97	+	5.23E-05	2.45E-02
*	neutrophil degranulation	482	11	2.13	5.17	+	1.06E-05	1.30E-02
-	neutrophil mediated immunity	493	11	2.18	5.06	+	1.30E-05	1.22E-02
-	myeloid leukocyte mediated immunity	514	11	2.27	4.85	+	1.90E-05	1.27E-02
-	immune effector process	1083	15	4.78	3.14	+	8.30E-05	3.40E-02
-	immune system process	2778	33	12.26	2.69	+	4.32E-08	6.89E-04
-	neutrophil activation involved in immune response	486	11	2.14	5.13	+	1.14E-05	1.22E-02
-	neutrophil activation	495	11	2.18	5.04	+	1.35E-05	1.14E-02
-	granulocyte activation	500	11	2.21	4.99	+	1.48E-05	1.13E-02
-	myeloid leukocyte activation	583	12	2.57	4.67	+	1.13E-05	1.29E-02
-	leukocyte activation	921	15	4.06	3.69	+	1.32E-05	1.17E-02
-	cell activation	1068	17	4.71	3.61	+	4.37E-06	6.98E-03
-	myeloid cell activation involved in immune response	519	11	2.29	4.8	+	2.08E-05	1.27E-02
-	leukocyte activation involved in immune response	619	12	2.73	4.39	+	2.03E-05	1.29E-02
-	cell activation involved in immune response	623	12	2.75	4.37	+	2.16E-05	1.28E-02
-	immune response	1872	24	8.26	2.91	+	1.49E-06	3.96E-03
-	leukocyte degranulation	504	11	2.22	4.95	+	1.59E-05	1.11E-02
-	regulated exocytosis	696	12	3.07	3.91	+	6.20E-05	2.60E-02
-	secretion by cell	1002	16	4.42	3.62	+	8.38E-06	1.22E-02
-	export from cell	1049	16	4.63	3.46	+	1.47E-05	1.17E-02
-	secretion	1119	16	4.94	3.24	+	3.20E-05	1.70E-02
-	establishment of localization in cell	2387	24	10.53	2.28	+	9.76E-05	3.80E-02
-	cellular localization	2999	30	13.23	2.27	+	8.99E-06	1.20E-02
*	regulation of endopeptidase activity	425	9	1.88	4.8	+	1.23E-04	4.58E-02
*	symbiotic process	883	14	3.9	3.59	+	3.55E-05	1.77E-02
*	cellular response to chemical stimulus	2961	29	13.06	2.22	+	3.02E-05	1.66E-02
*	response to organic substance	3033	29	13.38	2.17	+	3.79E-05	1.84E-02
