Parent	GO biological process complete	ref	list	expected	Fold Enrichment	+/-	raw P value	FDR
*	SRP-dependent cotranslational protein targeting to membrane	96	41	0.2	> 100	+	5.19E-89	8.28E-85
-	protein targeting to ER	110	41	0.23	> 100	+	5.57E-87	2.22E-83
-	protein targeting	369	41	0.78	52.65	+	1.66E-67	1.39E-64
-	intracellular protein transport	1011	41	2.13	19.22	+	3.26E-50	1.45E-47
-	cellular protein localization	1643	41	3.47	11.83	+	9.55E-42	2.82E-39
-	cellular macromolecule localization	1651	41	3.48	11.77	+	1.16E-41	3.37E-39
-	cellular localization	2999	42	6.33	6.64	+	3.83E-33	8.50E-31
-	cellular process	15458	44	32.62	1.35	+	2.63E-06	4.04E-04
-	localization	5802	43	12.24	3.51	+	4.65E-23	8.72E-21
-	macromolecule localization	2549	41	5.38	7.62	+	4.56E-34	1.04E-31
-	protein localization	2208	41	4.66	8.8	+	1.40E-36	3.56E-34
-	intracellular transport	1546	41	3.26	12.57	+	8.26E-43	2.86E-40
-	establishment of localization in cell	2387	42	5.04	8.34	+	3.04E-37	7.94E-35
-	establishment of localization	4680	43	9.88	4.35	+	5.02E-27	1.00E-24
-	transport	4550	43	9.6	4.48	+	1.52E-27	3.06E-25
-	protein transport	1535	41	3.24	12.66	+	6.20E-43	2.20E-40
-	establishment of protein localization	1620	41	3.42	11.99	+	5.41E-42	1.63E-39
-	peptide transport	1566	41	3.3	12.41	+	1.38E-42	4.60E-40
-	amide transport	1600	41	3.38	12.14	+	3.29E-42	1.01E-39
-	nitrogen compound transport	1879	41	3.97	10.34	+	2.12E-39	5.73E-37
-	organic substance transport	2234	41	4.71	8.7	+	2.25E-36	5.61E-34
-	establishment of protein localization to endoplasmic reticulum	114	41	0.24	> 100	+	1.93E-86	6.16E-83
-	protein localization to endoplasmic reticulum	138	41	0.29	> 100	+	1.65E-83	2.92E-80
-	protein localization to organelle	768	41	1.62	25.3	+	5.59E-55	3.08E-52
-	establishment of protein localization to organelle	450	41	0.95	43.18	+	3.78E-64	2.42E-61
-	cotranslational protein targeting to membrane	101	41	0.21	> 100	+	2.93E-88	1.56E-84
-	protein targeting to membrane	178	41	0.38	> 100	+	1.69E-79	2.45E-76
-	establishment of protein localization to membrane	291	41	0.61	66.77	+	1.77E-71	1.88E-68
-	protein localization to membrane	519	41	1.1	37.44	+	1.02E-61	6.27E-59
*	viral transcription	115	41	0.24	> 100	+	2.62E-86	6.96E-83
-	viral process	791	41	1.67	24.56	+	1.81E-54	9.33E-52
-	symbiotic process	883	41	1.86	22	+	1.46E-52	7.27E-50
-	interspecies interaction between organisms	2001	42	4.22	9.95	+	2.06E-40	5.76E-38
-	viral gene expression	132	41	0.28	> 100	+	3.37E-84	6.73E-81
*	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	120	42	0.25	> 100	+	6.48E-89	5.17E-85
-	nuclear-transcribed mRNA catabolic process	197	42	0.42	> 100	+	5.93E-81	9.46E-78
-	mRNA catabolic process	216	42	0.46	92.14	+	1.98E-79	2.64E-76
-	negative regulation of gene expression	1773	42	3.74	11.23	+	1.39E-42	4.52E-40
-	negative regulation of macromolecule metabolic process	2712	42	5.72	7.34	+	5.97E-35	1.40E-32
-	negative regulation of metabolic process	2976	42	6.28	6.69	+	2.79E-33	6.27E-31
-	negative regulation of biological process	5541	43	11.69	3.68	+	6.58E-24	1.25E-21
-	regulation of biological process	11825	44	24.95	1.76	+	1.78E-11	2.93E-09
-	biological regulation	12525	44	26.43	1.66	+	2.11E-10	3.44E-08
-	regulation of metabolic process	6772	43	14.29	3.01	+	3.28E-20	5.82E-18
-	regulation of macromolecule metabolic process	6215	43	13.11	3.28	+	8.61E-22	1.58E-19
-	regulation of gene expression	4494	42	9.48	4.43	+	6.99E-26	1.38E-23
-	RNA catabolic process	251	42	0.53	79.3	+	6.44E-77	7.91E-74
-	RNA metabolic process	1702	42	3.59	11.69	+	2.56E-43	9.30E-41
-	nucleic acid metabolic process	2303	42	4.86	8.64	+	6.89E-38	1.83E-35
-	nucleobase-containing compound metabolic process	2814	42	5.94	7.07	+	2.75E-34	6.36E-32
-	heterocycle metabolic process	3001	42	6.33	6.63	+	3.94E-33	8.62E-31
-	cellular metabolic process	7742	43	16.34	2.63	+	9.51E-18	1.63E-15
-	metabolic process	8492	43	17.92	2.4	+	4.74E-16	7.96E-14
-	primary metabolic process	7537	43	15.9	2.7	+	3.06E-18	5.30E-16
-	cellular aromatic compound metabolic process	3048	42	6.43	6.53	+	7.50E-33	1.62E-30
-	cellular nitrogen compound metabolic process	3464	43	7.31	5.88	+	1.39E-32	2.96E-30
-	nitrogen compound metabolic process	7072	43	14.92	2.88	+	2.06E-19	3.61E-17
-	organic cyclic compound metabolic process	3282	42	6.93	6.06	+	1.60E-31	3.36E-29
-	organic substance metabolic process	7917	43	16.71	2.57	+	2.45E-17	4.16E-15
-	macromolecule metabolic process	6248	43	13.18	3.26	+	1.08E-21	1.95E-19
-	cellular macromolecule catabolic process	912	42	1.92	21.82	+	1.81E-54	9.62E-52
-	macromolecule catabolic process	1055	42	2.23	18.87	+	7.10E-52	3.44E-49
-	organic substance catabolic process	1770	42	3.74	11.24	+	1.29E-42	4.39E-40
-	catabolic process	2084	42	4.4	9.55	+	1.11E-39	3.04E-37
-	cellular macromolecule metabolic process	5146	43	10.86	3.96	+	2.84E-25	5.53E-23
-	cellular catabolic process	1810	42	3.82	11	+	3.26E-42	1.02E-39
-	nucleobase-containing compound catabolic process	377	42	0.8	52.79	+	5.57E-70	5.23E-67
-	cellular nitrogen compound catabolic process	435	42	0.92	45.75	+	1.68E-67	1.34E-64
-	heterocycle catabolic process	434	42	0.92	45.86	+	1.53E-67	1.36E-64
-	aromatic compound catabolic process	450	42	0.95	44.23	+	6.51E-67	4.95E-64
-	organic cyclic compound catabolic process	484	42	1.02	41.12	+	1.21E-65	8.05E-63
-	mRNA metabolic process	696	42	1.47	28.6	+	2.92E-59	1.66E-56
*	translational initiation	143	42	0.3	> 100	+	3.76E-86	8.58E-83
-	translation	390	43	0.82	52.25	+	2.11E-72	2.41E-69
-	gene expression	2043	43	4.31	9.97	+	2.50E-42	7.98E-40
-	cellular macromolecule biosynthetic process	1727	43	3.64	11.8	+	2.01E-45	8.02E-43
-	cellular biosynthetic process	2786	43	5.88	7.31	+	1.32E-36	3.40E-34
-	biosynthetic process	2970	43	6.27	6.86	+	2.00E-35	4.77E-33
-	macromolecule biosynthetic process	1786	43	3.77	11.41	+	8.35E-45	3.17E-42
-	organic substance biosynthetic process	2892	43	6.1	7.05	+	6.46E-36	1.59E-33
-	cellular protein metabolic process	3770	43	7.96	5.41	+	5.10E-31	1.06E-28
-	protein metabolic process	4351	43	9.18	4.68	+	2.26E-28	4.63E-26
-	organonitrogen compound metabolic process	5370	43	11.33	3.79	+	1.74E-24	3.34E-22
-	peptide biosynthetic process	416	43	0.88	48.98	+	2.94E-71	2.93E-68
-	peptide metabolic process	537	43	1.13	37.95	+	1.06E-66	7.66E-64
-	cellular amide metabolic process	797	43	1.68	25.57	+	1.42E-59	8.41E-57
-	amide biosynthetic process	539	43	1.14	37.81	+	1.23E-66	8.54E-64
-	cellular nitrogen compound biosynthetic process	1673	43	3.53	12.18	+	5.23E-46	2.14E-43
-	organonitrogen compound biosynthetic process	1411	43	2.98	14.44	+	3.88E-49	1.63E-46
*	cytoplasmic translation	73	13	0.15	84.39	+	1.76E-21	3.16E-19
*	ribosomal small subunit assembly	19	3	0.04	74.82	+	1.30E-05	1.93E-03
-	ribosome assembly	64	6	0.14	44.43	+	7.25E-09	1.16E-06
-	cellular component organization or biogenesis	5754	34	12.14	2.8	+	1.14E-11	1.89E-09
-	cellular component biogenesis	2590	34	5.47	6.22	+	1.31E-22	2.44E-20
-	ribosome biogenesis	327	33	0.69	47.82	+	9.16E-50	3.95E-47
-	ribonucleoprotein complex biogenesis	455	33	0.96	34.37	+	2.95E-45	1.15E-42
-	ribosomal small subunit biogenesis	71	5	0.15	33.37	+	5.41E-07	8.56E-05
-	ribonucleoprotein complex assembly	186	6	0.39	15.29	+	2.94E-06	4.47E-04
-	ribonucleoprotein complex subunit organization	193	6	0.41	14.73	+	3.61E-06	5.39E-04
*	ribosomal large subunit assembly	29	3	0.06	49.02	+	4.14E-05	6.06E-03
-	ribosomal large subunit biogenesis	75	7	0.16	44.23	+	3.76E-10	6.07E-08
*	maturation of LSU-rRNA	30	3	0.06	47.39	+	4.55E-05	6.60E-03
-	rRNA processing	253	32	0.53	59.94	+	6.33E-51	2.97E-48
-	ncRNA processing	421	32	0.89	36.02	+	3.15E-44	1.17E-41
-	RNA processing	911	33	1.92	17.17	+	1.14E-35	2.75E-33
-	ncRNA metabolic process	515	32	1.09	29.45	+	1.52E-41	4.32E-39
-	rRNA metabolic process	265	32	0.56	57.22	+	2.54E-50	1.16E-47
*	positive regulation of translation	135	4	0.28	14.04	+	2.07E-04	2.98E-02
-	regulation of cellular amide metabolic process	428	8	0.9	8.86	+	3.09E-06	4.66E-04
-	regulation of translation	374	8	0.79	10.14	+	1.16E-06	1.81E-04
-	posttranscriptional regulation of gene expression	545	9	1.15	7.83	+	1.88E-06	2.91E-04
