Parent	GO biological process complete	ref	list	expected	Fold Enrichment	+/-	raw P value	FDR
*	positive regulation of natural killer cell chemotaxis	6	3	0.02	> 100	+	1.43E-06	1.94E-04
-	regulation of natural killer cell chemotaxis	8	4	0.02	> 100	+	2.09E-08	5.75E-06
-	regulation of lymphocyte chemotaxis	26	4	0.07	58.32	+	1.12E-06	1.56E-04
-	regulation of lymphocyte migration	63	4	0.17	24.07	+	2.91E-05	2.55E-03
-	regulation of leukocyte migration	207	6	0.55	10.99	+	1.99E-05	1.87E-03
-	regulation of cell migration	879	12	2.32	5.18	+	2.69E-06	3.38E-04
-	regulation of cell motility	942	12	2.48	4.83	+	5.43E-06	6.15E-04
-	regulation of locomotion	982	12	2.59	4.63	+	8.24E-06	8.77E-04
-	regulation of biological process	11825	50	31.19	1.6	+	5.57E-08	1.31E-05
-	biological regulation	12525	50	33.04	1.51	+	5.43E-07	8.85E-05
-	regulation of cellular component movement	1027	12	2.71	4.43	+	1.29E-05	1.27E-03
-	regulation of localization	2838	21	7.49	2.81	+	5.15E-06	5.88E-04
-	regulation of cellular process	11288	49	29.78	1.65	+	3.55E-08	8.85E-06
-	regulation of immune system process	1718	24	4.53	5.3	+	2.11E-12	3.75E-09
-	regulation of leukocyte chemotaxis	119	4	0.31	12.74	+	3.09E-04	1.89E-02
-	regulation of chemotaxis	218	5	0.58	8.7	+	2.98E-04	1.86E-02
-	regulation of response to external stimulus	1196	16	3.15	5.07	+	5.12E-08	1.22E-05
-	regulation of response to stimulus	4403	36	11.61	3.1	+	1.90E-12	3.79E-09
-	positive regulation of lymphocyte chemotaxis	21	3	0.06	54.16	+	3.35E-05	2.85E-03
-	positive regulation of lymphocyte migration	38	3	0.1	29.93	+	1.71E-04	1.15E-02
-	positive regulation of leukocyte migration	139	4	0.37	10.91	+	5.46E-04	3.06E-02
-	positive regulation of cell migration	522	9	1.38	6.54	+	9.24E-06	9.64E-04
-	positive regulation of cell motility	547	9	1.44	6.24	+	1.33E-05	1.31E-03
-	positive regulation of cellular component movement	563	9	1.49	6.06	+	1.67E-05	1.59E-03
-	positive regulation of cellular process	5725	36	15.1	2.38	+	5.09E-09	2.03E-06
-	positive regulation of biological process	6278	41	16.56	2.48	+	1.53E-11	1.74E-08
-	positive regulation of locomotion	562	9	1.48	6.07	+	1.65E-05	1.58E-03
-	positive regulation of immune system process	1091	17	2.88	5.91	+	1.83E-09	9.44E-07
-	positive regulation of chemotaxis	141	4	0.37	10.75	+	5.75E-04	3.17E-02
-	positive regulation of response to external stimulus	509	10	1.34	7.45	+	8.75E-07	1.29E-04
-	positive regulation of response to stimulus	2458	26	6.48	4.01	+	8.63E-11	8.10E-08
*	granzyme-mediated apoptotic signaling pathway	6	3	0.02	> 100	+	1.43E-06	1.92E-04
-	apoptotic signaling pathway	288	6	0.76	7.9	+	1.19E-04	8.63E-03
-	apoptotic process	909	12	2.4	5	+	3.79E-06	4.65E-04
-	programmed cell death	1040	12	2.74	4.37	+	1.46E-05	1.41E-03
-	cell death	1076	12	2.84	4.23	+	2.04E-05	1.90E-03
-	cellular process	15458	52	40.77	1.28	+	1.53E-04	1.06E-02
-	signal transduction	5146	36	13.57	2.65	+	2.20E-10	1.52E-07
-	signaling	5504	36	14.52	2.48	+	1.61E-09	9.19E-07
-	cell communication	5610	37	14.8	2.5	+	5.26E-10	3.50E-07
-	cellular response to stimulus	6801	40	17.94	2.23	+	1.74E-09	9.56E-07
-	response to stimulus	8572	46	22.61	2.03	+	1.23E-10	1.03E-07
*	regulation of peptidyl-serine dephosphorylation	5	2	0.01	> 100	+	1.42E-04	9.95E-03
-	regulation of phosphate metabolic process	1826	20	4.82	4.15	+	1.84E-08	5.33E-06
-	regulation of phosphorus metabolic process	1827	20	4.82	4.15	+	1.86E-08	5.29E-06
-	regulation of cellular metabolic process	6284	32	16.58	1.93	+	2.13E-05	1.93E-03
-	regulation of metabolic process	6772	32	17.86	1.79	+	1.23E-04	8.80E-03
-	regulation of protein modification process	1875	20	4.95	4.04	+	2.86E-08	7.25E-06
-	regulation of cellular protein metabolic process	2668	24	7.04	3.41	+	1.72E-08	5.09E-06
-	regulation of protein metabolic process	2845	25	7.5	3.33	+	1.17E-08	3.72E-06
-	regulation of primary metabolic process	6077	30	16.03	1.87	+	8.48E-05	6.39E-03
-	regulation of macromolecule metabolic process	6215	31	16.39	1.89	+	4.58E-05	3.71E-03
-	regulation of nitrogen compound metabolic process	5891	30	15.54	1.93	+	5.92E-05	4.59E-03
*	astrocyte cell migration	6	2	0.02	> 100	+	1.88E-04	1.23E-02
-	cell migration	957	12	2.52	4.75	+	6.37E-06	7.01E-04
-	cell motility	1078	12	2.84	4.22	+	2.08E-05	1.92E-03
-	movement of cell or subcellular component	1570	12	4.14	2.9	+	6.98E-04	3.68E-02
-	localization of cell	1078	12	2.84	4.22	+	2.08E-05	1.93E-03
-	localization	5802	28	15.3	1.83	+	3.93E-04	2.32E-02
-	locomotion	1314	12	3.47	3.46	+	1.38E-04	9.77E-03
*	T cell mediated cytotoxicity	10	3	0.03	> 100	+	4.84E-06	5.59E-04
-	leukocyte mediated cytotoxicity	37	4	0.1	40.98	+	4.04E-06	4.85E-04
-	cell killing	119	4	0.31	12.74	+	3.09E-04	1.90E-02
-	leukocyte mediated immunity	762	12	2.01	5.97	+	6.18E-07	9.48E-05
-	immune effector process	1083	18	2.86	6.3	+	1.91E-10	1.38E-07
-	immune system process	2778	35	7.33	4.78	+	8.55E-18	1.37E-13
-	T cell mediated immunity	38	3	0.1	29.93	+	1.71E-04	1.15E-02
-	lymphocyte mediated immunity	264	6	0.7	8.62	+	7.49E-05	5.72E-03
-	adaptive immune response	613	10	1.62	6.18	+	4.48E-06	5.34E-04
-	immune response	1872	29	4.94	5.87	+	1.76E-16	1.41E-12
*	negative regulation by host of viral transcription	14	4	0.04	> 100	+	1.28E-07	2.48E-05
-	modulation by host of symbiont process	60	5	0.16	31.59	+	7.66E-07	1.15E-04
-	modulation of process of other organism involved in symbiotic interaction	112	5	0.3	16.92	+	1.40E-05	1.36E-03
-	modulation of process of other organism	129	5	0.34	14.69	+	2.70E-05	2.41E-03
-	interspecies interaction between organisms	2001	28	5.28	5.3	+	1.02E-14	2.32E-11
-	interaction with symbiont	88	5	0.23	21.54	+	4.56E-06	5.35E-04
-	symbiotic process	883	10	2.33	4.29	+	9.79E-05	7.23E-03
-	negative regulation of viral transcription	27	4	0.07	56.16	+	1.28E-06	1.78E-04
-	negative regulation of viral process	104	4	0.27	14.58	+	1.88E-04	1.23E-02
-	negative regulation of biological process	5541	31	14.62	2.12	+	3.85E-06	4.66E-04
-	regulation of viral process	209	6	0.55	10.88	+	2.10E-05	1.93E-03
-	"regulation of symbiosis, encompassing mutualism through parasitism"	225	6	0.59	10.11	+	3.15E-05	2.73E-03
-	regulation of viral transcription	65	4	0.17	23.33	+	3.26E-05	2.79E-03
*	positive regulation of NMDA glutamate receptor activity	7	2	0.02	> 100	+	2.42E-04	1.54E-02
-	regulation of molecular function	3073	22	8.11	2.71	+	4.71E-06	5.48E-04
-	regulation of transport	1906	16	5.03	3.18	+	2.26E-05	2.04E-03
-	regulation of signal transduction	3160	22	8.34	2.64	+	7.46E-06	8.05E-04
-	regulation of cell communication	3646	26	9.62	2.7	+	3.72E-07	6.46E-05
-	regulation of signaling	3686	26	9.72	2.67	+	4.64E-07	7.71E-05
-	positive regulation of molecular function	1832	18	4.83	3.72	+	6.06E-07	9.48E-05
-	positive regulation of signal transduction	1709	18	4.51	3.99	+	2.18E-07	4.14E-05
-	positive regulation of signaling	1951	21	5.15	4.08	+	9.45E-09	3.08E-06
-	positive regulation of cell communication	1943	21	5.13	4.1	+	8.79E-09	2.92E-06
-	positive regulation of transport	1021	13	2.69	4.83	+	2.05E-06	2.66E-04
-	positive regulation of ion transport	283	5	0.75	6.7	+	9.49E-04	4.68E-02
*	positive regulation of microglial cell activation	8	2	0.02	94.78	+	3.02E-04	1.87E-02
-	positive regulation of macrophage activation	25	3	0.07	45.49	+	5.39E-05	4.26E-03
-	positive regulation of leukocyte activation	416	7	1.1	6.38	+	1.16E-04	8.46E-03
-	positive regulation of cell activation	430	7	1.13	6.17	+	1.42E-04	9.93E-03
-	regulation of cell activation	656	11	1.73	6.36	+	1.07E-06	1.53E-04
-	regulation of leukocyte activation	615	11	1.62	6.78	+	5.74E-07	9.17E-05
-	regulation of macrophage activation	54	3	0.14	21.06	+	4.56E-04	2.63E-02
-	positive regulation of neuroinflammatory response	14	2	0.04	54.16	+	7.96E-04	4.06E-02
-	positive regulation of inflammatory response	141	5	0.37	13.44	+	4.07E-05	3.33E-03
-	regulation of inflammatory response	537	10	1.42	7.06	+	1.41E-06	1.92E-04
-	regulation of defense response	856	13	2.26	5.76	+	2.90E-07	5.39E-05
-	regulation of response to stress	1625	20	4.29	4.67	+	2.56E-09	1.24E-06
-	positive regulation of defense response	370	8	0.98	8.2	+	6.15E-06	6.82E-04
*	T cell extravasation	8	2	0.02	94.78	+	3.02E-04	1.87E-02
-	leukocyte migration	375	10	0.99	10.11	+	5.58E-08	1.29E-05
-	T cell migration	30	3	0.08	37.91	+	8.89E-05	6.63E-03
-	lymphocyte migration	72	7	0.19	36.86	+	1.47E-09	8.70E-07
*	regulation of chronic inflammatory response	9	2	0.02	84.25	+	3.68E-04	2.18E-02
